Vendor,Item ID,Title,Calories (est),Calories (raw),Confidence,Source
healthybee,51ef1dc9-32,Steamed Chicken Salad - Lean Protein,156,156.06749584246722,high,manual_review
healthybee,51ef1dc9-33,Zesty Herbs Grilled Paneer Salad,260,259.5166711051805,high,manual_review
healthybee,51ef1dc9-34,Classic Grill Chicken Salad,120,119.7039219703512,high,manual_review
healthybee,51ef1dc9-35,Sprouts Salad,49,48.92196680725704,high,manual_review
healthybee,51ef1dc9-36,Fruit Sprouts Salad,40,40.36885037411554,high,manual_review
healthybee,51ef1dc9-37,Paneer Salad,211,210.5113496937364,high,manual_review
healthybee,51ef1dc9-38,Boiled Eggs Salad,136,135.63816977001315,high,manual_review
healthybee,51ef1dc9-39,Chickpea Beetroot Salad,183,183.457320509629,high,manual_review
healthybee,51ef1dc9-40,Corn Sprouts Salad,40,40.36885037411554,high,manual_review
healthybee,51ef1dc9-41,Corn Salad,115,114.7699831377132,high,manual_review
healthybee,51ef1dc9-42,Chicken Curry Brown Rice Meal Box,172,172.49072757602647,high,manual_review
healthybee,51ef1dc9-43,Palak Paneer Chapati Meal Box,302,302.1933309390877,high,manual_review
healthybee,51ef1dc9-44,Protein Rich Chickpea Curry Chapati Meal Box,292,292.04947755309814,high,manual_review
healthybee,51ef1dc9-45,Chicken Curry Chapati Meal Box,282,282.0738242087336,high,manual_review
healthybee,51ef1dc9-46,Palak Paneer Brown Rice Meal Box,251,251.24301526399609,high,manual_review
healthybee,51ef1dc9-47,Rajma Masala Chapati Meal Box,222,222.1645603191496,high,manual_review
healthybee,51ef1dc9-48,Paneer Wrap,259,258.6822317672699,high,manual_review
healthybee,51ef1dc9-49,Chicken Egg Wrap,160,159.75791039092562,high,manual_review
healthybee,51ef1dc9-50,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",166,165.61171660741994,high,manual_review
healthybee,51ef1dc9-51,Corn Veggie Wrap,167,166.5792053383477,high,manual_review
healthybee,51ef1dc9-52,Chicken Wrap,180,180.16270429281553,high,manual_review
healthybee,51ef1dc9-53,Egg Wrap,174,174.04490179763636,high,manual_review
healthybee,51ef1dc9-54,Spinach Egg White Omelette (Protein &amp; Iron Rich),157,157.46717680540857,high,manual_review
healthybee,51ef1dc9-55,Chicken Omelette ( Lean Protein Source ),156,156.17305937650792,high,manual_review
healthybee,51ef1dc9-56,Double Deck Chicken Omelette,156,155.7582602832888,high,manual_review
healthybee,51ef1dc9-57,Spinach Egg White Bhurji (Protein &amp; Iron Rich),170,170.1476790198509,high,manual_review
healthybee,51ef1dc9-58,Boiled Eggs (3 Pcs),166,165.69510578291667,high,manual_review
healthybee,51ef1dc9-59,"Masala Omelette (Healthy Bhi, Desi Bhi)",182,181.9101029692392,high,manual_review
healthybee,51ef1dc9-60,Chicken Brown Rice Bowl,186,186.10511245377091,high,manual_review
healthybee,51ef1dc9-61,Paneer Brown Rice Bowl,244,243.7646228482736,high,manual_review
healthybee,51ef1dc9-62,Veg Brown Rice Bowl,209,208.613466441624,high,manual_review
healthybee,51ef1dc9-63,Egg Brown Rice Bowl,182,181.5141111495551,high,manual_review
healthybee,51ef1dc9-64,Banana Date Smoothie,96,95.85381794090912,high,manual_review
healthybee,51ef1dc9-65,Banana Milkshake,92,91.6185582146488,high,manual_review
healthybee,51ef1dc9-66,Apple Banana Milkshake,89,89.13717120907903,high,manual_review
healthybee,51ef1dc9-67,"Healthy and flavorful shake prepared with milk, apple, and banana.",129,129.25225762380347,high,manual_review
healthybee,51ef1dc9-68,Apple Milkshake,64,63.88993403417882,high,manual_review
healthybee,51ef1dc9-69,Pomegranate Juice [sugar-free],167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-70,Basil Papaya Juice [sugar-free],167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-71,Carrot Beetroot Juice [sugar-free],209,209.24520489992327,high,manual_review
healthybee,51ef1dc9-72,Basil Watermelon Juice [sugar-free],167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-73,Balance Fruit Bowl,196,195.69552879636527,high,manual_review
healthybee,51ef1dc9-74,Fruit Custard Bowl,196,195.69552879636527,high,manual_review
healthybee,51ef1dc9-75,Quinoa Chickpea Tabbouleh Salad,223,222.69419568229029,high,manual_review
healthybee,51ef1dc9-76,Peanut Butter Fruits Oatmeal,205,205.49110552052156,high,manual_review
healthybee,51ef1dc9-77,Fruit Milk Oats,138,138.3752334869614,high,manual_review
healthybee,51ef1dc9-78,Milk Oats,167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-79,Brown Rice (200 gm),156,156.47240537687125,high,manual_review
healthybee,51ef1dc9-80,Beetroot Chapati (1 Pc),292,291.9126253421801,high,manual_review
healthybee,51ef1dc9-81,Parsley Dip,167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-82,Spinach Chapati (1 Pc),292,292.2595169618141,high,manual_review
healthybee,51ef1dc9-83,Chicken Burrito Bowl,209,208.70793490661976,high,manual_review
healthybee,51ef1dc9-84,Cucumber Mint Lemonade,167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-85,Honey Ginger Lemonade,167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-86,Classic Lemonade,167,167.28626289329247,high,manual_review
healthybee,51ef1dc9-87,P P L Detox [sugar-free],167,167.28626289329247,high,manual_review
swad gomantak,3264c85c-88,Surmai Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-89,Pomfret Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-90,Chicken Malvani Thali,239,238.9530793112242,high,manual_review
swad gomantak,3264c85c-91,Gomanntak Special Seafood Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-92,Gomanntak Konkan Special Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-93,Prawns Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-94,Crab Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-95,Bangda Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-96,Bombil Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-97,Mandeli Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-98,Veg Thali,268,268.43352559587225,high,manual_review
swad gomantak,3264c85c-99,Egg Thali,229,228.9557145988802,high,manual_review
swad gomantak,3264c85c-100,Mutton Malvani Thali,264,263.9483539963847,high,manual_review
swad gomantak,3264c85c-101,Surmai Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-102,Surmai Konkan Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-103,Surmai Tawa Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-104,Surmai Tikhale,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-105,Prawns Konkan Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-106,Prawns Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-107,Prawns Sukka,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-108,Prawns Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-109,Chicken Kombdi Vade,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-110,Chicken Malwani Handi,212,212.29074587833185,high,manual_review
swad gomantak,3264c85c-111,Chicken Curry,173,173.25154232735164,high,manual_review
swad gomantak,3264c85c-112,Chicken Sukka,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-113,Chicken Maratha Curry,174,174.03941258300088,high,manual_review
swad gomantak,3264c85c-114,Chicken Masala,199,198.61939472678768,high,manual_review
swad gomantak,3264c85c-115,Chicken Kadai,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-116,Chicken Handi,212,212.29074587833185,high,manual_review
swad gomantak,3264c85c-117,Chicken Keema,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-118,Chicken Maratha Handi,212,212.29074587833185,high,manual_review
swad gomantak,3264c85c-119,Chicken Tawa Masala,199,198.61939472678768,high,manual_review
swad gomantak,3264c85c-120,Tisrya Sukka,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-121,Tisrya Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-122,Tisrya Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-123,Pomfret Tikhale,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-124,Pomfret Tawa Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-125,Pomfret Konkan Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-126,Pomfret Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-127,Bangda Tawa Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-128,Bangda Tikhale,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-129,Bangda Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-130,Bangda Konkan Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-131,Mutton Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-132,Mutton Sukka Dry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-133,Mutton Vade,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-134,Mutton Handi,230,229.50753370105,high,manual_review
swad gomantak,3264c85c-135,Mutton Maratha Handi,230,229.50753370105,high,manual_review
swad gomantak,3264c85c-136,Mutton Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-137,Mutton Tawa Dry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-138,Veg Malwani Handi,239,238.7045453701732,high,manual_review
swad gomantak,3264c85c-139,Mix Veg,241,241.4495071229792,high,manual_review
swad gomantak,3264c85c-140,Paneer Handi,263,262.58380835659244,high,manual_review
swad gomantak,3264c85c-141,Paneer Bhurji,257,257.46609378107973,high,manual_review
swad gomantak,3264c85c-142,Matar Paneer,263,262.58380835659244,high,manual_review
swad gomantak,3264c85c-143,Veg Handi,239,238.7045453701732,high,manual_review
swad gomantak,3264c85c-144,Veg Kadai,241,241.4495071229792,high,manual_review
swad gomantak,3264c85c-145,Dal Fry,189,189.03281738422348,high,manual_review
swad gomantak,3264c85c-146,Dal Tadka,192,192.39131480365924,high,manual_review
swad gomantak,3264c85c-147,Veg Saguti,241,241.4495071229792,high,manual_review
swad gomantak,3264c85c-148,Veg Tawa,241,241.4495071229792,high,manual_review
swad gomantak,3264c85c-149,Paneer Butter Masala,261,260.5765731664588,high,manual_review
swad gomantak,3264c85c-150,Lasooni Dal,189,189.03281738422348,high,manual_review
swad gomantak,3264c85c-151,Paneer Kadhai,263,262.58380835659244,high,manual_review
swad gomantak,3264c85c-152,Green Peas Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-153,Shev Bhaji,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-154,Egg Curry,169,168.8506526529013,high,manual_review
swad gomantak,3264c85c-155,Egg Masala,192,192.1321394254004,high,manual_review
swad gomantak,3264c85c-156,Egg Bhurji,198,197.98728155366535,high,manual_review
swad gomantak,3264c85c-157,Egg Omelette,158,158.1694180921944,high,manual_review
swad gomantak,3264c85c-158,Boiled Egg,160,159.83892741332048,high,manual_review
swad gomantak,3264c85c-159,Prawns 65,229,229.21689745534633,high,manual_review
swad gomantak,3264c85c-160,Tossed Prawns [8 Pieces],232,232.1562205024661,high,manual_review
swad gomantak,3264c85c-161,Prawns Koliwada [8 Pieces],232,232.1562205024661,high,manual_review
swad gomantak,3264c85c-162,Prawn Golden Fried,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-163,Tossed Crab,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-164,Crab Lollipop [6 Pieces],232,232.1562205024661,high,manual_review
swad gomantak,3264c85c-165,Fish Fingers [6 Pieces],257,257.2487734920038,high,manual_review
swad gomantak,3264c85c-166,Chicken Lollipop [6 Pieces],215,214.7641847063396,high,manual_review
swad gomantak,3264c85c-167,Chicken Tava Fry,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-168,Crab Lasooni Tadka,215,214.57560914944168,high,manual_review
swad gomantak,3264c85c-169,Prawns Chilli,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-170,Prawns Lasooni Tadka [6 Pieces],227,226.98093275823192,high,manual_review
swad gomantak,3264c85c-171,Chicken Lasuni Tadka,198,198.3467786478218,high,manual_review
swad gomantak,3264c85c-172,Tossed Prawns,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-173,Prawns Tawa Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-174,Surmai Tawa Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-175,Pomfret Tawa Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-176,Bangada Tawa Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-177,Surmai Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-178,Pomfret Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-179,Prawns Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-180,Bombil Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-181,Mandeli Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-182,Bangda Rava Fry,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-183,Crab Masala,216,216.15593958455543,high,manual_review
swad gomantak,3264c85c-184,Crab Sukka,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-185,Crab Konkan Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-186,Crab Curry,190,189.56055133016685,high,manual_review
swad gomantak,3264c85c-187,Solkadi,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-188,Kokum Sharbat,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-189,Mirgund Papad,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-190,Roasted Papad,252,251.78360965739108,high,manual_review
swad gomantak,3264c85c-191,Paneer 65 [8 Piece],262,261.9464504814424,high,manual_review
swad gomantak,3264c85c-192,Paneer Chilly [8 Piece],245,245.39464660877871,high,manual_review
swad gomantak,3264c85c-193,Surmai Fry [1 Pieces] With Prawns Curry & Steamed Rice,216,215.7126828873808,high,manual_review
swad gomantak,3264c85c-194,Chicken Thali With Prawns Fry,239,238.9530793112242,high,manual_review
swad gomantak,3264c85c-195,Chicken Thali With Surmai Fry,239,238.9530793112242,high,manual_review
swad gomantak,3264c85c-196,Pomfret Fry With Prawns Curry & Steamed Rice,210,209.74025726967608,high,manual_review
swad gomantak,3264c85c-197,Prawns Fry With Prawns Curry & Steamed Rice,210,209.74025726967608,high,manual_review
swad gomantak,3264c85c-198,Bangda Fry With Prawns Curry & Steamed Rice,210,209.74025726967608,high,manual_review
swad gomantak,3264c85c-199,Bombil Fry With Prawns Curry & Steamed Rice,210,209.74025726967608,high,manual_review
swad gomantak,3264c85c-200,Chicken Thali With Bangda Fry,239,238.9530793112242,high,manual_review
swad gomantak,3264c85c-201,Chicken Thali With Bombil Fry,239,238.9530793112242,high,manual_review
swad gomantak,3264c85c-202,Kolambi Bhaat,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-203,Prawns Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-204,Mutton Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-205,Fish Biryani,237,237.00106738505528,high,manual_review
swad gomantak,3264c85c-206,Chicken Biryani,187,186.62890785880268,high,manual_review
swad gomantak,3264c85c-207,Egg Biryani,184,184.02625647483077,high,manual_review
swad gomantak,3264c85c-208,Veg Biryani,219,219.081628038072,high,manual_review
swad gomantak,3264c85c-209,Dal Khichdi,129,129.2481151929424,high,manual_review
swad gomantak,3264c85c-210,Jeera Rice,209,208.6301268408624,high,manual_review
swad gomantak,3264c85c-211,Plain Rice,209,208.6301268408624,high,manual_review
swad gomantak,3264c85c-212,Paneer Biryani,239,238.89055290636676,high,manual_review
swad gomantak,3264c85c-213,Surmai Chatpata Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-214,Crab Lahsuni Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-215,Pomfret Fry Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-216,Mutton Kolhapuri Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-217,Chicken Kolhapuri Biryani,190,190.04031986127225,high,manual_review
swad gomantak,3264c85c-218,Bangda Fry Masala Biryani,195,194.88511362487617,high,manual_review
swad gomantak,3264c85c-219,Veg Kolhapuri Biryani,219,219.081628038072,high,manual_review
swad gomantak,3264c85c-220,Crab Lasuni Biryani,207,206.7983617084244,high,manual_review
swad gomantak,3264c85c-221,Chicken Lasooni Tadka [6 Pieces](soup),207,206.55548167708068,high,manual_review
swad gomantak,3264c85c-222,Chicken Chilli,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-223,Crab Soup,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-224,Chicken Soup,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-225,Prawns Soup,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-226,Chicken Clear Soup,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-227,Potato Bhaji,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-228,Veg Soup,241,241.4495071229792,high,manual_review
swad gomantak,3264c85c-229,Mutton Soup,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-230,Mutton Clear Soup,232,231.9229926582528,high,manual_review
swad gomantak,3264c85c-231,Chicken Tawa Fry,199,199.4532884713104,high,manual_review
swad gomantak,3264c85c-232,Chicken Oil Fry [8 Pieces],215,214.7641847063396,high,manual_review
swad gomantak,3264c85c-233,Rice Bhakri,209,208.6301268408624,high,manual_review
swad gomantak,3264c85c-234,Chapati,291,291.0084834805142,high,manual_review
swad gomantak,3264c85c-235,Vada [2 Pieces],237,236.8813954790629,high,manual_review
shree krishna veg es,ac4ec427-236,Kaju Paneer Masala,209,208.59596809128143,high,manual_review
shree krishna veg es,ac4ec427-237,Paneer Tikka Masala,199,199.45859524420644,high,manual_review
shree krishna veg es,ac4ec427-238,Palak Paneer,234,233.9851659676474,high,manual_review
shree krishna veg es,ac4ec427-239,Paneer Tawa Masala..,209,208.59596809128143,high,manual_review
shree krishna veg es,ac4ec427-240,Kofta Zaikedar,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-241,Nargis Kofta Curry.,191,191.11333107459507,high,manual_review
shree krishna veg es,ac4ec427-242,Paneer Rajwadi,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-243,Paneer Lazeez.,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-244,Maharaja Veg,199,199.0912970828267,high,manual_review
shree krishna veg es,ac4ec427-245,Paneer Butter Masala..,226,225.627139237863,high,manual_review
shree krishna veg es,ac4ec427-246,Paneer Bhurji,223,223.10196694412377,high,manual_review
shree krishna veg es,ac4ec427-247,Subz Maratha,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-248,Paneer Amritsari,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-249,Subz Patiala,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-250,Krishna Special Veg Curry,197,196.84569396000643,high,manual_review
shree krishna veg es,ac4ec427-251,Paneer Musallam,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-252,Paneer Kolhapuri,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-253,Paneer Golati,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-254,Paneer Chatpata..,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-255,Subz Bhuna,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-256,Subz Diwani Handi,195,194.56416136607763,high,manual_review
shree krishna veg es,ac4ec427-257,Kaju Tawa Paneer,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-258,Mirch Paneer,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-259,Malai Kofta Curry,191,191.11333107459507,high,manual_review
shree krishna veg es,ac4ec427-260,Chole Bhatura,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-261,Paneer Kofta,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-262,Subz Jalfrezi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-263,Subz Kolhapuri.,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-264,Methi Mutter Malai,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-265,Paneer Do Pyaza,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-266,Sam Savera,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-267,Subz Peshawari,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-268,Dum Alu Kashmiri,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-269,Subz Chilly Milly,189,189.43571200709312,high,manual_review
shree krishna veg es,ac4ec427-270,Mashroom Baby,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-271,Navaratna Kurma,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-272,Mushroom Tawa Masala :,181,181.1403033035112,high,manual_review
shree krishna veg es,ac4ec427-273,Corn Masala,162,161.8425236690598,high,manual_review
shree krishna veg es,ac4ec427-274,Cheese Peas Curry,191,191.11333107459507,high,manual_review
shree krishna veg es,ac4ec427-275,Mushroom Masala,181,181.1403033035112,high,manual_review
shree krishna veg es,ac4ec427-276,Chana Masala,181,181.1403033035112,high,manual_review
shree krishna veg es,ac4ec427-277,Plain Palak,200,199.71412275785613,high,manual_review
shree krishna veg es,ac4ec427-278,Lasuni Methi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-279,Green Peas Masala....,181,181.1403033035112,high,manual_review
shree krishna veg es,ac4ec427-280,Alu Jeera,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-281,Alu Muttar,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-282,Alu Gobi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-283,Alu Methi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-284,Alu Palak,200,199.71412275785613,high,manual_review
shree krishna veg es,ac4ec427-285,Hyderabadi Biryani,186,186.36388550844148,high,manual_review
shree krishna veg es,ac4ec427-286,Veg Biryani,196,196.44814196645152,high,manual_review
shree krishna veg es,ac4ec427-287,Dal Khichadi,173,172.74079288325603,high,manual_review
shree krishna veg es,ac4ec427-288,Palak Khichadi,200,199.71412275785613,high,manual_review
shree krishna veg es,ac4ec427-289,Khichadi Kadhi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-290,Peas Pulao,190,190.0019698106006,high,manual_review
shree krishna veg es,ac4ec427-291,Dum Biryani,186,186.36388550844148,high,manual_review
shree krishna veg es,ac4ec427-292,Paneer Tikka Biryani.,204,203.6810337909876,high,manual_review
shree krishna veg es,ac4ec427-293,Paneer Pulao,216,216.4036885085557,high,manual_review
shree krishna veg es,ac4ec427-294,Kashmiri Pulao,190,190.0019698106006,high,manual_review
shree krishna veg es,ac4ec427-295,Cheese Pulao.,190,190.0019698106006,high,manual_review
shree krishna veg es,ac4ec427-296,Dahi Khichadi,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-297,Subz Pulao,190,190.0019698106006,high,manual_review
shree krishna veg es,ac4ec427-298,Jeera Rice,182,182.40524485465272,high,manual_review
shree krishna veg es,ac4ec427-299,Curd Rice,182,182.40524485465272,high,manual_review
shree krishna veg es,ac4ec427-300,Steam Rice,182,182.40524485465272,high,manual_review
shree krishna veg es,ac4ec427-301,Veg Item. Vegetable Manchurian,199,199.0912970828267,high,manual_review
shree krishna veg es,ac4ec427-302,Chilli Paneer,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-303,Spring Rolls,189,188.69778242687508,high,manual_review
shree krishna veg es,ac4ec427-304,Paneer Satay,218,217.7053222501472,high,manual_review
shree krishna veg es,ac4ec427-305,Crispy Paneer.,218,217.7053222501472,high,manual_review
